Count,Unit Format 1,Carry Fee Percentage,SQ FT,Year,Carrying Charge,NCB Loan,2019 One Time SA,2022 SA #1,2022 SA #1 
1,N0103,0.001725551,590,2003,401,null,null,null,TBD
2,N0104,0.001725551,590,2003,401,null,null,null,TBD
3,N0109,0.001725551,590,2003,389,null,null,null,TBD
4,N0110,0.001725551,590,2003,389,null,null,null,TBD
5,N0116,0.001725551,590,2003,389,null,null,null,TBD
6,N0123,0.001725551,590,2003,401,null,null,null,TBD
7,N0203,0.001725551,590,2003,412,null,null,null,TBD
8,N0204,0.001725551,590,2003,412,null,null,null,TBD
9,N0209,0.001725551,590,2003,397,null,null,null,TBD
10,N0210,0.001725551,590,2003,397,null,null,null,TBD
11,N0216,0.001725551,590,2003,397,null,null,null,TBD
12,N0223,0.001725551,590,2003,412,null,null,null,TBD
13,N0303,0.001725551,590,2003,413,null,null,null,TBD
14,N0304,0.001725551,590,2003,413,null,null,null,TBD
15,N0309,0.001725551,590,2003,401,null,null,null,TBD
16,N0310,0.001725551,590,2003,401,null,null,null,TBD
17,N0316,0.001725551,590,2003,401,null,null,null,TBD
18,N0323,0.001725551,590,2003,413,null,null,null,TBD
19,N0403,0.001725551,590,2003,421,null,null,null,TBD
20,N0404,0.001725551,590,2003,421,null,null,null,TBD
21,N0409,0.001725551,590,2003,412,null,null,null,TBD
22,N0410,0.001725551,590,2003,412,null,null,null,TBD
23,N0416,0.001725551,590,2003,412,null,null,null,TBD
24,N0423,0.001725551,590,2003,421,null,null,null,TBD
25,N0503,0.001725551,590,2003,429,null,null,null,TBD
26,N0504,0.001725551,590,2003,429,null,null,null,TBD
27,N0509,0.001725551,590,2003,413,null,null,null,TBD
28,N0510,0.001725551,590,2003,413,null,null,null,TBD
29,N0516,0.001725551,590,2003,413,null,null,null,TBD
30,N0523,0.001725551,590,2003,429,null,null,null,TBD
31,N0603,0.001725551,590,2003,432,null,null,null,TBD
32,N0604,0.001725551,590,2003,432,null,null,null,TBD
33,N0609,0.001725551,590,2003,421,null,null,null,TBD
34,N0610,0.001725551,590,2003,421,null,null,null,TBD
35,N0616,0.001725551,590,2003,421,null,null,null,TBD
