Unit Type,Square Footage,Percentage for Total Carrying Charges,2005 Carry,2006 Carry,2007 Carry,2008 Carry,2009 Carry,2010 Carry,2011 Carry,2012 Carry,2013 Carry,2014 Carry (est),2015 Carry (est),2016 Carry,2017 Carry,2018 Carry,2019 Carry,2020 Carry,2021 Carry,2022 Carry
B-1,590,0.001725551,507.17,532.06,565.34,573,573,573,573,596,611,611,611,657.25,705.08,749.02,835.03,918.51,997.04,1026.95
B-2,695,0.001593134,468.25,491.23,521.96,529,529,529,529,550,564,564,564,606.69,650.85,691.41,770.8,847.85,920.53,948.15
B-3,668,0.001588996,467.03,489.95,520.60,527,527,527,527,548,562,562,562,604.54,648.54,688.94,768.05,844.83,918.14,945.68
B-4,590,0.001729689,508.39,533.34,566.69,574,574,574,574,597,612,612,612,658.33,706.24,750.24,836.39,920,999.43,1029.42
B-5,590,0.001725551,507.17,532.06,565.34,573,573,573,573,596,611,611,611,657.25,705.08,749.02,835.03,918.51,997.04,1026.95
C-1,768,0.002280044,670.15,703.03,747.01,757,757,757,757,787,807,807,807,868.09,931.27,989.3,1102.9,1213.16,1317.44,1356.96
C-2,807,0.00208142,611.77,641.79,681.93,691,691,691,691,719,738,738,738,793.87,851.65,904.71,1008.59,1109.42,1202.67,1238.75
Eff,426,0.001129677,332.03,348.33,370.11,375,375,375,375,390,400,400,400,430.28,461.59,490.36,546.67,601.32,652.74,672.32
21,1287,0.002139352,628.79,659.65,700.91,710,710,710,710,738,757,757,757,814.30,873.57,928,1034.56,1137.98,1236.14,1273.23
22,1625,0.002793157,820.96,861.25,915.12,927,927,927,927,964,989,989,989,1063.87,1141.29,1212.4,1351.61,1486.73,1613.92,1662.34
31,1665,0.003041438,895.00,937.80,996.46,1009,1009,1009,1009,1049,1076,1076,1076,1157.45,1241.69,1319.06,1470.52,1617.53,1757.38,1810.1
32,1665,0.003041438,893.93,937.80,996.46,1009,1009,1009,1009,1049,1076,1076,1076,1157.45,1241.69,1319.06,1470.52,1617.53,1757.38,1810.1
33,1266,0.002602809,765.01,802.55,852.75,864,864,864,864,899,922,922,922,991.80,1063.98,1130.27,1260.05,1386.02,1503.93,1549.05
21-A,1287,0.002139352,628.79,659.65,700.91,710,710,710,710,738,757,757,757,814.30,873.57,928,1034.56,1137.98,1236.14,1273.23
22-E,1665,0.002875918,845.28,886.77,942.23,954,954,954,954,992,1018,1018,1018,1095.06,1174.75,1247.95,1391.24,1530.32,1661.74,1711.59
30-E,1500,0.002627637,772.31,810.21,860.89,872,872,872,872,907,931,931,931,1001.48,1074.36,1141.29,1272.34,1399.54,1518.28,1563.83
32-E,1665,0.003124198,918.26,963.32,1023.58,1037,1037,1037,1037,1078,1106,1106,1106,1189.72,1276.3,1355.82,1511.5,1662.61,1805.2,1859.35
34-E,1665,0.002817985,829.00,868.90,923.25,935,935,935,935,972,997,997,997,1072.47,1150.52,1222.21,1362.55,1498.84,1628.26,1677.11
